Gas,NFR/CRF Group,Source,Activity,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ammonia,1A2gvii,Industrial off-road mobile machinery,DERV,kilotonne,0.001640949,0.001539681,0.001537615,0.001570681,0.001628549,0.001674016,0.001696749,0.00177735,0.001907551,0.001984019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ammonia,1A2gvii,Industrial off-road mobile machinery,Gas oil,kilotonne,0.012469943,0.011700387,0.011684682,0.011935965,0.012375711,0.012721226,0.012893983,0.013506487,0.014495916,0.015077009,0.012105514,0.011591113,0.011872461,0.012048813,0.01257084,0.012528659,0.012503279,0.013501155,0.013530524,0.01278583,0.013282695,0.013673632,0.014237762,0.014369499,0.015602337,0.015312297,0.015903052,0.016388957,0.013937989,0.01188607,0.012231363,0.011559671,0.011919498,0.010198367,0.010427134,0.011057462,0.011227608,0.011412137,0.011934992,0.011260935,0.010313985,0.011997412
Ammonia,1A2gvii,Industrial off-road mobile machinery,Petrol,kilotonne,0.000520974,0.000488823,0.000488167,0.000498665,0.000517037,0.000531472,0.00053869,0.000564279,0.000605616,0.000629893,0.00074839,0.000741571,0.000741022,0.000742046,0.000747945,0.000750126,0.000750149,0.001413106,0.001579306,0.001132235,0.001452685,0.001224447,0.001042412,0.001041144,0.001116864,0.001423217,0.001533941,0.002032518,0.0009365,0.00081476,0.000867196,0.000924851,0.000948476,0.000830846,0.000882567,0.000876454,0.000823006,0.000989123,0.001026561,0.000933219,0.000922383,0.000967771
Ammonia,1A2gviii,Other industrial combustion,Wood,kilotonne,0.016496298,0.016496298,0.016496298,0.016496298,0.016496298,0.016496298,0.016496298,0.016496298,0.016496298,0.016496298,0.018991536,0.018991536,0.018991536,0.018991536,0.036510275,0.039952416,0.040547631,0.030967892,0.035047907,0.02949925,0.020390247,0.018068294,0.018068294,0.018068294,0.018068294,0.007470864,0.007777643,0.00705056,0.015349629,0.015569308,0.013136064,0.014465909,0.014537392,0.014830664,0.015005126,0.014984317,0.015003472,0.015093304,0.014901328,0.014822668,0.014415029,0.014415029
Ammonia,1A2gviii,Other industrial combustion,Biomass,kilotonne,0.002938305,0.002938305,0.002938305,0.002938305,0.002938305,0.002938305,0.002938305,0.002938305,0.002938305,0.002938305,0.002625296,0.002585775,0.002535201,0.00246818,0.002375134,0.00223725,0.002002833,0.001569707,0.000692334,0.001777426,0.002171168,0.001898392,0.004445915,0.007322251,0.010500604,0.009515294,0.01109226,0.0073836,0.004639588,0.007931139,0.012120503,0.012875239,0.010846708,0.013620047,0.021472339,0.029506293,0.031278254,0.047655554,0.054939131,0.05604635,0.078621677,0.08598363
Ammonia,1A2gviii,Mechanical Engineering (combustion),Biomass,kilotonne,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,1A2gviii,Electrical engineering (combustion),Biomass,kilotonne,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,1A2gviii,Textiles and leather (combustion),Biomass,kilotonne,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,1A2gviii,Construction (combustion),Biomass,kilotonne,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,1A3bi,Road transport - cars - rural driving,Petrol,kilotonne,0.172534198,0.174185926,0.179426593,0.193415301,0.20860712,0.212828202,0.221637418,0.237110832,0.247306394,0.26406358,0.281854536,0.325267032,0.591729625,1.286564792,2.185086007,3.097583452,4.129349206,5.128062239,6.02032282,6.951272989,10.93553601,10.68514602,10.48293036,10.01209261,9.524623818,8.780932463,8.155751758,7.347243969,6.430158816,6.063994799,5.369427087,4.648883877,4.001399695,3.470139776,3.021079982,2.597676113,2.317480979,2.039973341,1.835000924,1.673503247,1.16133685,1.205262841
Ammonia,1A3bi,Road transport - cars - rural driving,DERV,kilotonne,0.001224888,0.001236614,0.00127382,0.001373131,0.001480984,0.001510951,0.001573491,0.002419498,0.002781565,0.00366378,0.006105857,0.007245798,0.009025857,0.01142223,0.014734474,0.017801622,0.020363856,0.022712597,0.024786429,0.026745599,0.028311185,0.030746975,0.034915133,0.038876784,0.043647535,0.047817901,0.052748191,0.057090579,0.063694326,0.064588176,0.070347758,0.082327152,0.093538601,0.105108881,0.120785295,0.181164756,0.253254698,0.311686673,0.345646134,0.372267273,0.283636182,0.318262384
Ammonia,1A3bi,Road transport - cars - urban driving,Petrol,kilotonne,0.145790039,0.150571802,0.156669893,0.151135943,0.153768599,0.157811606,0.167536315,0.173312067,0.18929229,0.205392638,0.191161573,0.21179827,0.335450852,0.69772118,1.122663106,1.551267846,2.008246207,3.014346756,4.012103081,5.011617005,5.818420161,5.537841212,5.299249946,4.904713814,4.522570643,4.086540577,3.676461109,3.230820524,2.651489935,2.337216008,1.957953532,1.624991688,1.293161093,1.004747519,0.811496525,0.6355969,0.50528679,0.406387798,0.350276852,0.306386731,0.231152025,0.2481167
Ammonia,1A3bi,Road transport - cars - urban driving,DERV,kilotonne,0.001002985,0.001035882,0.001077835,0.001039763,0.001057875,0.00108569,0.001152592,0.001713753,0.002063157,0.00276154,0.003917832,0.004595788,0.005612102,0.007503935,0.009533063,0.01145165,0.012871678,0.014082677,0.015407772,0.016609146,0.017522303,0.018752102,0.020950566,0.022835039,0.025008524,0.027087703,0.02928523,0.031564172,0.034001243,0.034741,0.037496028,0.043239841,0.049433986,0.055519717,0.060641995,0.084487416,0.115248534,0.142747092,0.160244398,0.17150199,0.137127479,0.152015557
Ammonia,1A3bi,Road transport - cars - motorway driving,Petrol,kilotonne,0.043451662,0.043630721,0.045162671,0.047470543,0.054195205,0.056900986,0.061715685,0.074786713,0.081067379,0.0885795,0.098627343,0.104938707,0.154559857,0.293186154,0.468929033,0.657259962,0.882817389,1.109668168,1.347966516,1.572035942,2.489925064,2.710964352,2.857333901,2.892478006,2.96428023,2.910958041,2.879516568,2.785402846,2.578062109,2.803260141,2.646969719,2.438572875,2.231024503,2.028533062,1.868054076,1.705381009,1.582729566,1.449517697,1.369748765,1.321232334,0.910538157,1.057994836
Ammonia,1A3bi,Road transport - cars - motorway driving,DERV,kilotonne,0.00030848,0.000309752,0.000320628,0.000337012,0.000384753,0.000403962,0.000438144,0.00076313,0.000911801,0.001229006,0.002770658,0.003191345,0.003939039,0.005212425,0.006799028,0.00840941,0.009870209,0.011254133,0.012714048,0.013821316,0.014673363,0.016155477,0.018228633,0.020147994,0.022959806,0.025247833,0.027870431,0.030292357,0.033297066,0.033274687,0.035463174,0.04266776,0.049456525,0.056263884,0.062654147,0.092243511,0.125693972,0.151841507,0.165458412,0.177786667,0.116045072,0.126323159
Ammonia,1A3bi,Road transport - cars - cold start,Petrol,kilotonne,0.071194942,0.073530063,0.076507998,0.073805555,0.075091183,0.077065541,0.081814494,0.084635018,0.092438782,0.100301208,0.093297986,0.093032116,0.09412842,0.100845878,0.108286376,0.117622053,0.129475082,0.152698197,0.178758389,0.208093569,1.17871313,1.135038464,1.095336794,1.018897874,0.940506842,0.849584906,0.762400633,0.671748234,0.579356024,0.527940938,0.464061014,0.417811654,0.372660396,0.335387199,0.324858446,0.318777715,0.316452624,0.317521882,0.332310498,0.352153381,0.295242382,0.343293909
Ammonia,1A3bi,Road transport - cars - cold start,DERV,kilotonne,0.000489797,0.000505862,0.000526349,0.000507757,0.000516601,0.000530184,0.000562856,0.000836892,0.00100752,0.001348567,0.001912621,0.00224363,0.00273956,0.003663393,0.004653982,0.005590585,0.006283791,0.006874981,0.007521856,0.008107972,0.008553245,0.009153376,0.010226435,0.011146262,0.012205976,0.013219964,0.014292304,0.015402258,0.016589628,0.01695365,0.018297766,0.021101152,0.024119913,0.027096745,0.029583365,0.041198077,0.056172671,0.06960737,0.078131816,0.083644706,0.066871357,0.074108039
Ammonia,1A3bi,Road transport - all vehicles LPG use,LPG,kilotonne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.000447202,0.001172625,0.002873359,0.006538133,0.026727768,0.068889412,0.099723173,0.106906941,0.101109571,0.097276136,0.091515565,0.078645965,0.076101109,0.061123082,0.056179236,0.046755086,0.039305031,0.035653576,0.029056972,0.023830989,0.018536159,0.016235913,0.014739157,0.013232064,0.011559836,0.011412603
Ammonia,1A3bii,Road transport - LGVs - rural driving,Petrol,kilotonne,0.017220156,0.017430252,0.016940353,0.017935531,0.018778404,0.019457474,0.020277584,0.021930813,0.022978116,0.026628782,0.023202565,0.02271483,0.02119471,0.021184403,0.028390062,0.043684697,0.061306295,0.079267127,0.096497617,0.107250879,0.162074579,0.173829364,0.162146973,0.152710855,0.141525449,0.130590215,0.118960118,0.112648204,0.102028273,0.093525595,0.086454093,0.07694265,0.070094577,0.061966739,0.057143944,0.051742207,0.048088601,0.042777468,0.037662456,0.032918838,0.025433126,0.025109671
Ammonia,1A3bii,Road transport - LGVs - rural driving,DERV,kilotonne,0.002343157,0.00244499,0.002425591,0.00252566,0.002598441,0.002684163,0.002756832,0.002976118,0.003728237,0.005438273,0.005869682,0.007086138,0.007788711,0.008704041,0.009991206,0.011152414,0.012501266,0.014138145,0.016035326,0.017188802,0.01828546,0.019583573,0.020884355,0.022474475,0.023873783,0.025112078,0.026605046,0.028898337,0.029230899,0.028935253,0.029501455,0.031099588,0.035030466,0.038543168,0.044981875,0.052395646,0.081942957,0.112647436,0.139742711,0.165494371,0.163646103,0.200342182
Ammonia,1A3bii,Road transport - LGVs - urban driving,Petrol,kilotonne,0.013166782,0.013158558,0.013065636,0.012265648,0.012917612,0.013049512,0.013832702,0.014636924,0.015713322,0.018247851,0.015097233,0.014720527,0.013361273,0.012666173,0.015521268,0.021600755,0.027602502,0.038239295,0.052509949,0.065260382,0.074776213,0.080996206,0.074656279,0.070210467,0.063728748,0.056863086,0.050461549,0.045057507,0.039346988,0.033605718,0.029561386,0.025728281,0.021362374,0.01809253,0.016295415,0.013997784,0.012042223,0.010091148,0.008408588,0.0069239,0.005373783,0.005033779
Ammonia,1A3bii,Road transport - LGVs - urban driving,DERV,kilotonne,0.001791612,0.001845788,0.001870793,0.001727234,0.00178746,0.001800183,0.00188062,0.001986302,0.002549512,0.003726674,0.003808985,0.004579089,0.004895057,0.005298276,0.006055185,0.006715272,0.007238998,0.008050546,0.008866327,0.00964719,0.01016047,0.010627819,0.0112469,0.012281699,0.013076388,0.01356331,0.014195909,0.01474805,0.014767135,0.014421891,0.014734433,0.015849756,0.017383312,0.01907734,0.022161992,0.025154614,0.036879913,0.05025993,0.06241368,0.071450875,0.073431976,0.085987603
Ammonia,1A3bii,Road transport - LGVs - motorway driving,Petrol,kilotonne,0.00313345,0.003063991,0.003196138,0.003533615,0.004119269,0.004449148,0.004873321,0.00631975,0.00672821,0.00802559,0.007915639,0.00727661,0.006984484,0.007415342,0.008758933,0.01216001,0.016148379,0.020168712,0.023393001,0.025015186,0.037547048,0.040343345,0.040858374,0.041690699,0.043719978,0.043381579,0.042937871,0.041322245,0.037656922,0.037907655,0.035836486,0.034784442,0.033783135,0.032325071,0.030666028,0.028852856,0.026874527,0.025360684,0.023789903,0.022329315,0.018892322,0.020450921
Ammonia,1A3bii,Road transport - LGVs - motorway driving,DERV,kilotonne,0.00042637,0.000429795,0.000457636,0.000497599,0.000569999,0.000613761,0.000662551,0.000857621,0.001091663,0.001639029,0.001996659,0.002262924,0.002558117,0.003131824,0.003629964,0.004258561,0.004900102,0.005627279,0.006280806,0.006615306,0.007182335,0.007715627,0.008095887,0.008659127,0.009546514,0.010011515,0.010845226,0.011380154,0.011264211,0.011245761,0.011212184,0.012370049,0.014231472,0.01623388,0.018703611,0.021783017,0.032944219,0.045947857,0.057386074,0.068804199,0.070176256,0.088934412
Ammonia,1A3bii,Road transport - LGVs - cold start,Petrol,kilotonne,0.006429851,0.006425835,0.006380458,0.005989793,0.006308172,0.006372584,0.006755046,0.007147779,0.007673426,0.008911135,0.00736968,0.007185748,0.006522853,0.005889007,0.005619398,0.005279668,0.005046545,0.004992906,0.004973587,0.004997747,0.016122075,0.0167085,0.015511281,0.014705337,0.013446354,0.012033962,0.010702668,0.00955705,0.008689329,0.00753426,0.006667389,0.005973184,0.005226626,0.004789462,0.00470596,0.004470566,0.00429544,0.004113163,0.004068503,0.003740158,0.003441431,0.003700788
Ammonia,1A3bii,Road transport - LGVs - cold start,DERV,kilotonne,0.000874914,0.00090137,0.000913581,0.000843475,0.000872886,0.000879099,0.00091838,0.000969988,0.001245026,0.00181988,0.001859504,0.002235391,0.002389868,0.002586957,0.002956524,0.003278793,0.003534201,0.003930276,0.004328424,0.004709431,0.004959642,0.005187506,0.0054893,0.005993034,0.006378653,0.006617289,0.006925738,0.007196839,0.007204846,0.007036967,0.007189389,0.00773439,0.00848189,0.009310657,0.01081095,0.012264856,0.017975712,0.024508082,0.030432645,0.034850233,0.035820652,0.041935925
Ammonia,1A3bii,Road transport - all vehicles biofuels use,Biomass,kilotonne,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,1A3biii,Road transport - buses and coaches - rural driving,DERV,kilotonne,0.003232784,0.003140419,0.00310963,0.003201996,0.003294361,0.003232784,0.003325149,0.003756187,0.004002494,0.004365622,0.005018173,0.004548072,0.004173625,0.004243363,0.004194532,0.004418772,0.004518839,0.004609583,0.00454645,0.004808297,0.004861366,0.004850494,0.005148696,0.005138979,0.004692859,0.004456595,0.004673256,0.00496087,0.00504335,0.006220641,0.007088075,0.0073648,0.008357893,0.009273444,0.010012921,0.01005376,0.009738646,0.0102006,0.010001633,0.009924154,0.007435339,0.008543834
Ammonia,1A3biii,Road transport - HGV articulated - rural driving,DERV,kilotonne,0.007582681,0.007582681,0.00803583,0.008156669,0.008549397,0.008640027,0.009062966,0.009969262,0.010996398,0.012884262,0.012647274,0.012942511,0.012852485,0.012651168,0.013132415,0.013661694,0.014085589,0.014509048,0.015037277,0.015100715,0.014993006,0.014980294,0.015323727,0.015415104,0.015609935,0.015552301,0.016005512,0.016490162,0.018145011,0.020263581,0.024599416,0.030172963,0.035221465,0.040164019,0.043114417,0.04663139,0.048854978,0.05163861,0.053186737,0.053710753,0.050548118,0.055202153
Ammonia,1A3biii,Road transport - HGV rigid - rural driving,DERV,kilotonne,0.024690097,0.023845189,0.023281917,0.023876482,0.024564925,0.02494044,0.025535005,0.026567671,0.027287408,0.021452045,0.020487427,0.020335074,0.019921888,0.019128304,0.019378165,0.019722972,0.019689246,0.019889948,0.020473755,0.020833593,0.020865721,0.020601513,0.021232077,0.021652657,0.021760781,0.021767867,0.021727897,0.022086935,0.022723924,0.024648023,0.02767154,0.030802803,0.034336106,0.038551416,0.041717375,0.045850069,0.04906974,0.05060964,0.050782022,0.051209626,0.046984116,0.050789353
Ammonia,1A3biii,Road transport - buses and coaches - urban driving,DERV,kilotonne,0.006601448,0.006571845,0.006631051,0.00692708,0.007104698,0.006571845,0.006542243,0.007134301,0.007607947,0.00769546,0.006953477,0.008031217,0.007785836,0.007947343,0.007992219,0.008532222,0.008723329,0.008986604,0.009170512,0.009268477,0.008811293,0.008801689,0.008667746,0.00918869,0.009021387,0.00905512,0.009118972,0.00947692,0.009299623,0.011248674,0.013276063,0.014091723,0.016594715,0.017535081,0.018543817,0.018608698,0.019285272,0.018924598,0.018682303,0.018607839,0.013672969,0.015198456
Ammonia,1A3biii,Road transport - HGV articulated - urban driving,DERV,kilotonne,0.002450385,0.002297236,0.002205347,0.002327866,0.002266607,0.002327866,0.002327866,0.002450385,0.002879203,0.003704535,0.003338752,0.003277268,0.002897137,0.003159814,0.003281338,0.003327135,0.003369078,0.003409785,0.003385761,0.003306384,0.003178398,0.003073765,0.003109422,0.003196315,0.003222149,0.003069845,0.002994799,0.002852409,0.003012563,0.00335873,0.003963783,0.005071193,0.005787418,0.006509786,0.007076674,0.007638997,0.008076707,0.008629762,0.009055738,0.00920908,0.008536943,0.009126874
Ammonia,1A3biii,Road transport - HGV rigid - urban driving,DERV,kilotonne,0.018452585,0.017338807,0.015954111,0.01565309,0.016014315,0.016074519,0.016586255,0.01694748,0.018512789,0.014762476,0.013141634,0.012931038,0.012786738,0.011264922,0.010997277,0.010735904,0.011048927,0.010803874,0.01104289,0.010970232,0.011246764,0.011217882,0.011273065,0.011759525,0.011730702,0.011538584,0.011187068,0.010679413,0.011089973,0.011714913,0.012955467,0.014954057,0.017152804,0.018740779,0.020737254,0.02161342,0.021490875,0.020996701,0.020995892,0.020876063,0.020367129,0.022230662
Ammonia,1A3biii,Road transport - buses and coaches - motorway driving,DERV,kilotonne,0.00071629,0.000835672,0.000835672,0.000955053,0.001134126,0.001163971,0.001163971,0.001343044,0.001372889,0.001440024,0.001678019,0.001550525,0.001594918,0.001431416,0.001466278,0.001489464,0.001533078,0.001601113,0.001758992,0.001569788,0.001515016,0.001488234,0.001396863,0.001352858,0.001362279,0.001366751,0.001632002,0.001376943,0.001439065,0.001663841,0.002016057,0.002203966,0.00238493,0.002665367,0.002713361,0.002719186,0.002635063,0.002682256,0.002818193,0.002881043,0.001158615,0.00122047
Ammonia,1A3biii,Road transport - HGV articulated - motorway driving,DERV,kilotonne,0.006266347,0.006178501,0.006383475,0.006881268,0.007759728,0.008052548,0.008286804,0.0105708,0.011654233,0.013544769,0.013578823,0.013365527,0.012705687,0.015814539,0.016486412,0.017429647,0.018673084,0.019803862,0.020411483,0.021192338,0.021571273,0.021586613,0.021701249,0.02162418,0.02311227,0.022936568,0.023292944,0.023922386,0.025842553,0.028895211,0.036211438,0.045151053,0.053922117,0.06297465,0.068822901,0.07388291,0.076464208,0.079210266,0.080398115,0.081252435,0.080121935,0.085967535
Ammonia,1A3biii,Road transport - HGV rigid - motorway driving,DERV,kilotonne,0.009098704,0.008713417,0.008624505,0.008891242,0.009661817,0.009810004,0.009958191,0.012447739,0.013188676,0.010493505,0.01070023,0.009905785,0.009601457,0.010034328,0.010324655,0.010702728,0.011072958,0.01138562,0.012079056,0.012271871,0.012195555,0.012120438,0.012092836,0.012159769,0.012495697,0.012201796,0.012212914,0.012080823,0.013061937,0.014642281,0.01683211,0.018051956,0.019266512,0.021500609,0.024214541,0.027993102,0.029806153,0.031448221,0.033003573,0.033851377,0.03080995,0.033812969
Ammonia,1A3biv,Road transport - motorcycle (>50cc  2st) - rural driving,Petrol,kilotonne,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ammonia,1A3biv,Road transport - motorcycle (>50cc  4st) - rural driving,Petrol,kilotonne,0.006529701,0.007973965,0.008523192,0.00756713,0.006895852,0.00640765,0.006183891,0.005634664,0.00500407,0.004880886,0.004043237,0.004313587,0.003641101,0.003229982,0.00327215,0.003279941,0.003221494,0.003356696,0.003463956,0.003883164,0.003942452,0.00401602,0.004297686,0.004432836,0.004217097,0.004332675,0.004217765,0.004212733,0.004241699,0.004203975,0.003679277,0.00396577,0.003456767,0.003760046,0.00390852,0.003824115,0.003642886,0.003642786,0.003742312,0.003660528,0.002976509,0.003228878
Ammonia,1A3biv,Road transport - mopeds (<50cc 2st) - urban driving,Petrol,kilotonne,0.000870931,0.000958337,0.000957312,0.000860594,0.000892176,0.00079151,0.000757955,0.000731563,0.000660576,0.000643274,0.000639546,0.000581507,0.000475716,0.000374729,0.000369851,0.000332023,0.000302818,0.000286762,0.000288591,0.000319293,0.000364485,0.000405482,0.000405393,0.00045805,0.000388607,0.000391852,0.000341842,0.000367188,0.00029892,0.000289438,0.000257776,0.000244267,0.00021372,0.000190914,0.000179534,0.000163928,0.000136927,0.000142045,0.000125181,0.000115927,9.65E-05,0.000111513
Ammonia,1A3biv,Road transport - motorcycle (>50cc  2st) - urban driving,Petrol,kilotonne,0.000247803,0.000274498,0.00027737,0.000249347,0.000258497,0.000229331,0.000219608,0.000211962,0.000191394,0.000186381,0.000186464,0.000171128,0.000140932,0.000110854,0.000109501,0.000102535,9.54E-05,8.76E-05,8.35E-05,8.41E-05,8.71E-05,9.54E-05,9.79E-05,0.000108305,9.48E-05,0.000102449,9.79E-05,0.000114754,0.000100374,0.000105122,0.000100249,0.000102459,9.80E-05,9.71E-05,0.000102094,0.000105435,0.000114132,0.000109428,0.000103901,0.000101599,9.01E-05,0.000112897
Ammonia,1A3biv,Road transport - motorcycle (>50cc  4st) - urban driving,Petrol,kilotonne,0.006800766,0.007557846,0.00769979,0.006921874,0.007175887,0.006366219,0.006096329,0.005884059,0.005313099,0.005173937,0.005137563,0.004663836,0.003813316,0.00300675,0.002969169,0.003015505,0.003132805,0.003357877,0.003495166,0.003705033,0.003760446,0.004041866,0.004300553,0.005082576,0.00452429,0.004906323,0.004612178,0.005295435,0.004483938,0.004716989,0.004322734,0.004209635,0.00383471,0.003724952,0.003909854,0.004032172,0.004338062,0.004282249,0.004128902,0.004092794,0.003477125,0.004349386
Ammonia,1A3biv,Road transport - motorcycle (>50cc  4st) - motorway driving,Petrol,kilotonne,0.000324561,0.000365131,0.000385416,0.000385416,0.000425986,0.000405701,0.000385416,0.000446271,0.000446271,0.000483394,0.000641833,0.000634385,0.000633996,0.000552928,0.000584532,0.000568413,0.000600642,0.000698043,0.000759867,0.000857796,0.000787149,0.000813449,0.000796991,0.000851161,0.000796109,0.000825757,0.000870225,0.000872639,0.000917742,0.000889552,0.000852263,0.000813388,0.000746028,0.000761368,0.000749469,0.000757479,0.000751163,0.000726049,0.000734872,0.000714976,0.000409538,0.000448517
Ammonia,1A3c,Railways - intercity,Gas oil,kilotonne,0.001908315,0.001883206,0.001672987,0.001815469,0.001804958,0.001818972,0.00182014,0.001898388,0.001981892,0.002005833,0.001587867,0.001588765,0.001567205,0.001573044,0.001529473,0.001642663,0.00167464,0.001690281,0.001819646,0.001879388,0.001918916,0.001957995,0.001991235,0.002004261,0.002059061,0.002080622,0.002115706,0.002002257,0.002038167,0.002052648,0.002076004,0.002030555,0.002050893,0.002003862,0.002054105,0.002049005,0.002060153,0.002037855,0.001927988,0.001957813,0.001440449,0.001587867
